model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,m6g.xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,16
AWS,m6g.2xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,8
AWS,m6g.4xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,4
AWS,m6g.8xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,2
AWS,m6g.12xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,"1,333333333"
AWS,m6g.16xlarge,rack,2019,1,145,Xeon E5-2686 v4,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,1
AWS,m6g.metal,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,0,EBS,0,,2,,1
AWS,m6gd.medium,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,64
AWS,m6gd.large,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,32
AWS,m6gd.xlarge,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,16
AWS,m6gd.2xlarge,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,8
AWS,m6gd.4xlarge,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,4
AWS,m6gd.8xlarge,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,2
AWS,m6gd.12xlarge,rack,2019,1,240,Xeon Platinum 8175M,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,"1,333333333"
AWS,m6gd.16xlarge,rack,2019,1,240,Xeon Platinum 8275CL,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,1
AWS,m6gd.metal,rack,2019,1,240,Xeon Platinum 8275CL,64,Annapurna Labs,Graviton2,2019,7,,8,32,,,,2,SSD,1900,,2,,1
AWS,m6i.large,rack,2021,2,240,Xeon Platinum 8275CL,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,64
AWS,m6i.xlarge,rack,2021,2,240,Xeon Platinum 8275CL,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,32
AWS,m6i.2xlarge,rack,2021,2,95,Xeon E5-2650,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,16
AWS,m6i.4xlarge,rack,2021,2,95,Xeon E5-2650,32,Intel,Ice Lake,2021,10,,16,32,,,,0,EBS,0,,2,,8
