,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
298,inf1.2xlarge,8,16.0,0,0,1,inf1.24xlarge,,0.0019,12.387841666666665,0.00121,0.00305,0.0046,45.84598666666667,0.0045,0.0113,0.017,60.35406999999999,0.0059,0.0148,0.0223
299,inf1.6xlarge,24,48.0,0,0,4,inf1.24xlarge,,0.0056,37.16352499999999,0.0036,0.0091,0.0138,137.53796000000003,0.0135,0.034,0.051,181.06221000000002,0.0177,0.045,0.067
300,inf1.24xlarge,96,192.0,0,0,16,inf1.24xlarge,,0.023,148.65409999999997,0.0146,0.037,0.055,550.1518400000001,0.054,0.135,0.204,724.2488400000001,0.071,0.178,0.268
301,inf2.xlarge,4,16.0,0,0,1,inf2.48xlarge,,0.0011,7.530459999999999,0.00074,0.00185,0.00279,15.372361666666665,0.00151,0.0038,0.0057,18.772728333333333,0.00184,0.0046,0.0069
302,inf2.8xlarge,32,128.0,0,0,1,inf2.48xlarge,,0.009,60.24367999999999,0.0059,0.0148,0.0223,122.97889333333332,0.0121,0.0303,0.046,150.18182666666667,0.0147,0.037,0.056
303,inf2.24xlarge,96,384.0,0,0,6,inf2.48xlarge,,0.027,180.73103999999998,0.0177,0.044,0.067,368.93667999999997,0.036,0.091,0.137,450.54548,0.044,0.111,0.167
304,inf2.48xlarge,192,768.0,0,0,12,inf2.48xlarge,,0.055,361.46207999999996,0.035,0.089,0.134,737.8733599999999,0.072,0.182,0.273,901.09096,0.088,0.222,0.33
305,db.m2.xlarge,2,17.0,0,0,0,platform_aws_m2,,0.0019,8.7011925,0.00085,0.00214,0.00322,20.72555625,0.00203,0.0051,0.0077,25.93899,0.00254,0.0064,0.0096
306,m2.xlarge,2,17.0,420,0,0,platform_aws_m2,,0.0025,8.7011925,0.00085,0.00214,0.00322,20.72555625,0.00203,0.0051,0.0077,25.93899,0.00254,0.0064,0.0096
307,db.m2.2xlarge,4,34.0,0,0,0,platform_aws_m2,,0.0038,17.402385,0.00171,0.0043,0.0064,41.4511125,0.0041,0.0102,0.0153,51.87798,0.0051,0.0128,0.0192
308,m2.2xlarge,4,34.0,850,0,0,platform_aws_m2,,0.0049,17.402385,0.00171,0.0043,0.0064,41.4511125,0.0041,0.0102,0.0153,51.87798,0.0051,0.0128,0.0192
