Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
E48ads v7,E48ads v7,384 GiB,48,2640 GiB,€3.6082 hourly,€2.4536 hourly,€2.1287 hourly,€0.6668 hourly,€3.6082 hourly,€4.346 hourly,€4.021 hourly,€0.6668 hourly
E48as v4,E48as v4,384 GiB,48,768 GiB,€3.1266 hourly,€2.1142 hourly,€1.8386 hourly,€0.6397 hourly,€5.0189 hourly,€4.0066 hourly,€3.731 hourly,€1.0269 hourly
E48as v5,E48as v5,384 GiB,48,0 GiB,€2.818 hourly,€1.9027 hourly,€1.6627 hourly,€0.574 hourly,€4.7104 hourly,€3.7951 hourly,€3.555 hourly,€0.9595 hourly
E48as v6,E48as v6,384 GiB,48,0 GiB,€2.9663 hourly,€2.0171 hourly,€1.75 hourly,€0.5482 hourly,€4.8587 hourly,€3.9095 hourly,€3.6424 hourly,€0.8979 hourly
E48as v7,E48as v7,384 GiB,48,0 GiB,€2.9663 hourly,€2.0171 hourly,€1.75 hourly,€0.5482 hourly,€4.8587 hourly,€3.9095 hourly,€3.6424 hourly,€0.8979 hourly
E48a v4,E48a v4,384 GiB,48,1200 GiB,€3.1266 hourly,€2.1142 hourly,€1.8386 hourly,€0.6397 hourly,€5.0189 hourly,€4.0066 hourly,€3.731 hourly,€1.0269 hourly
E48bds v5,E48bds v5,384 GiB,48,1800 GiB,€4.0933 hourly,€2.7957 hourly,€2.415 hourly,€0.8207 hourly,€5.9857 hourly,€4.6881 hourly,€4.3074 hourly,€1.2001 hourly
E48bs v5,E48bs v5,384 GiB,48,0 GiB,€3.6614 hourly,€2.5007 hourly,€2.1602 hourly,€0.7341 hourly,€5.5537 hourly,€4.3931 hourly,€4.0525 hourly,€1.1135 hourly
E48ds v4,E48ds v4,384 GiB,48,1800 GiB,€3.5585 hourly,€2.4376 hourly,€2.0995 hourly,€0.7138 hourly,€5.4509 hourly,€4.33 hourly,€3.9919 hourly,€1.0934 hourly
E48ds v5,E48ds v5,384 GiB,48,1800 GiB,€3.5585 hourly,€2.4376 hourly,€2.0995 hourly,€0.7135 hourly,€5.4509 hourly,€4.33 hourly,€3.9919 hourly,€1.0929 hourly
