Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R6G Eight Extra Large,r6g.8xlarge,r6g,"20.197,94",152.0 fps,256 GiB,0 units,32 vCPUs,EBS only,12 Gigabit,240,€1.6675 hourly,€1.0505 hourly,€0.3925 hourly,unavailable,unavailable
R6GD 12xlarge Extra Large,r6gd.12xlarge,r6gd,"19.587,36",173.0 fps,384 GiB,0 units,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),20 Gigabit,240,€2.8386 hourly,€1.7925 hourly,€0.5453 hourly,unavailable,unavailable
R6GD Quadruple Extra Large,r6gd.4xlarge,r6gd,"19.531,25",93.0 fps,128 GiB,0 units,16 vCPUs,950 GB NVMe SSD,Up to 10 Gigabit,240,€0.9462 hourly,€0.5975 hourly,€0.3481 hourly,unavailable,unavailable
R6GD Eight Extra Large,r6gd.8xlarge,r6gd,"20.120,724",150.0 fps,256 GiB,0 units,32 vCPUs,1900 GB NVMe SSD,12 Gigabit,240,€1.8924 hourly,€1.195 hourly,€0.6544 hourly,unavailable,unavailable
R6I 12xlarge Extra Large,r6i.12xlarge,r6i,"27.356,039",218.0 fps,384 GiB,0 units,48 vCPUs,EBS only,18.75 Gigabit,240,€3.1266 hourly,€2.0682 hourly,€1.1473 hourly,€5.0189 hourly,€2.0682 hourly
R6I Quadruple Extra Large,r6i.4xlarge,r6i,"26.599,282",107.0 fps,128 GiB,0 units,16 vCPUs,EBS only,Up to 12.5 Gigabit,240,€1.0422 hourly,€0.6894 hourly,€0.3812 hourly,€1.673 hourly,€1.3202 hourly
R6I Eight Extra Large,r6i.8xlarge,r6i,"27.708,507",187.0 fps,256 GiB,0 units,32 vCPUs,EBS only,12.5 Gigabit,240,€2.0844 hourly,€1.3788 hourly,€0.6371 hourly,€3.346 hourly,€1.3788 hourly
R6ID 12xlarge Extra Large,r6id.12xlarge,r6id,N/A,N/A,384 GiB,0 units,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),18.75 Gigabit,240,€3.7364 hourly,€2.354 hourly,€1.3492 hourly,€5.6288 hourly,€2.354 hourly
R6ID Quadruple Extra Large,r6id.4xlarge,r6id,N/A,N/A,128 GiB,0 units,16 vCPUs,950 GB NVMe SSD,Up to 12.5 Gigabit,240,€1.2455 hourly,€0.7847 hourly,€0.4514 hourly,€1.8763 hourly,€1.4154 hourly
R6ID Eight Extra Large,r6id.8xlarge,r6id,N/A,N/A,256 GiB,0 units,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,240,€2.491 hourly,€1.5693 hourly,€0.8254 hourly,€3.7525 hourly,€1.5693 hourly
